fish_id,group,clutch,timepoint_h,amplitude_fit,decay_constant_fit,offset_fit,tau_se,r2,rmse,n_points,converged,tau_at_bound,tau_loglin,n_dropped,frac_dropped,baseline_locomotion,mean_distance_obs,resp_prob_block1_obs,resp_prob_block6_obs,amplitude_supplied,decay_constant_supplied,offset_supplied,tau_diff
fish_001,sham,clutch_A,-1.0,8.716141373193821,6.748189446116377,1.8682818688434208,1.4583511582245297,0.8330000684409452,1.0525163314956483,30,True,False,10.160699000108476,4,0.13333333333333333,106.98,3.9530000000000007,0.6,0.2,8.716,6.748,1.868,0.00018944611637650155
fish_001,sham,clutch_A,0.5,9.915235240341215,5.362209141813088,1.9658489032063615,0.7712532632514241,0.9047911464187196,0.8446745361033284,30,True,False,9.521954480748843,10,0.3333333333333333,98.24,3.901266666666667,1.0,0.6,9.915,5.362,1.966,0.00020914181308828717
fish_001,sham,clutch_A,1.0,10.63452343738087,5.112385945743331,1.9473669389162398,0.8254021350211287,0.880095764830316,1.0232319373673398,30,True,False,7.00970564256404,7,0.23333333333333334,83.7,3.9370000000000003,1.0,0.2,10.635,5.112,1.947,0.00038594574333128406
fish_001,sham,clutch_A,5.0,10.69449440815364,4.774100443640988,2.0813742054703863,0.7992294119005149,0.8683457142512264,1.0730339305726586,30,True,False,8.959032606792737,6,0.2,94.12,3.9642,1.0,0.4,10.694,4.774,2.081,0.00010044364098771297
fish_001,sham,clutch_A,24.0,9.532944115027298,5.760083117813905,1.888479626669942,0.9631367212913127,0.8804036638372746,0.931984584355255,30,True,False,8.878073382935357,11,0.36666666666666664,97.88,3.8714000000000004,0.8,0.2,9.533,5.76,1.888,8.311781390535344e-05
fish_002,sham,clutch_A,-1.0,10.79506809225756,6.888999612215718,1.96699987582503,1.1123881956196626,0.9010026894129436,0.9665190148857483,30,True,False,8.324133954869305,7,0.23333333333333334,96.59,4.5959666666666665,1.0,0.6,10.795,6.889,1.967,-3.8778428201879933e-07
fish_002,sham,clutch_A,0.5,11.15000183657902,6.961045082604681,1.8842525142569506,1.1607120817175118,0.8960126570052384,1.026727171681179,30,True,False,9.818368913374748,7,0.23333333333333334,96.68,4.6244,1.0,0.2,11.15,6.961,1.884,4.508260468050196e-05
fish_002,sham,clutch_A,1.0,10.31832932897519,6.517801514251168,2.2748438292414965,1.027515592667636,0.9009674797529243,0.9199009401548014,30,True,False,7.671597136479776,6,0.2,97.05,4.668733333333333,1.0,1.0,10.318,6.518,2.275,-0.0001984857488315228
fish_002,sham,clutch_A,5.0,10.414863959023494,9.121794116510939,1.4010440936235233,1.94997492296526,0.8754552102090835,1.0653694776023475,30,True,False,7.840710194347343,6,0.2,90.36,4.619833333333332,0.6,0.4,10.415,9.122,1.401,-0.00020588348906080967
fish_002,sham,clutch_A,24.0,10.414016080387947,9.186453942335913,1.0532589331724704,1.8088073223503547,0.8931473767902236,0.9765723420702341,30,True,False,10.149433200720237,4,0.13333333333333333,92.45,4.2904333333333335,1.0,0.2,10.414,9.186,1.053,0.0004539423359126715
fish_003,sham,clutch_A,-1.0,10.958546827207519,7.430865426692375,1.3707741903485366,1.0574182442444058,0.9264579703901606,0.8375272387356053,30,True,False,9.48484844176915,11,0.36666666666666664,97.16,4.220699999999999,1.0,0.4,10.959,7.431,1.371,-0.00013457330762545183
fish_003,sham,clutch_A,0.5,9.258460910923713,4.648681219690234,2.900421288356623,0.8452488593527181,0.8467310316194004,1.0101960474385203,30,True,False,11.34633825808254,10,0.3333333333333333,87.48,4.4924,1.0,0.8,9.258,4.649,2.9,-0.00031878030976617566
fish_003,sham,clutch_A,1.0,10.609395946849368,5.263518520909466,2.29376398128404,0.8398141828698535,0.8842449126503275,1.005246350569133,30,True,False,10.765785359998361,6,0.2,93.42,4.330766666666666,1.0,0.2,10.609,5.264,2.294,-0.0004814790905340871
fish_003,sham,clutch_A,5.0,9.990883058730898,5.780312028698714,2.2454194749477803,0.6909489455105916,0.935229006503107,0.6977429422073168,30,True,False,8.61596314982139,1,0.03333333333333333,92.36,4.330066666666667,1.0,0.6,9.991,5.78,2.245,0.00031202869871371774
fish_003,sham,clutch_A,24.0,10.437608862596985,6.962529475544145,1.690182115885631,1.1506527368754076,0.8976807538158993,0.9525150779608244,30,True,False,8.101966505365235,5,0.16666666666666666,88.58,4.255733333333334,0.8,0.4,10.438,6.962,1.69,0.0005294755441456189
fish_004,sham,clutch_A,-1.0,9.83280022954629,5.149654774663868,2.035181836369932,0.8184654987956796,0.8837784832963804,0.9305894323211851,30,True,False,8.932044945406275,7,0.23333333333333334,106.03,3.886733333333334,1.0,0.4,9.833,5.15,2.035,-0.0003452253361322377
